Gen,Case,Fitness,NPV,ABS Diff,Parents
1,165,15608.000971640664,1465984.751079971,0,none
1,166,1006.956944133189,459052.46273808694,0,none
1,167,680.6934084820299,436417.78803700476,0,none
1,168,482.69879816668634,444212.6130318126,0,none
1,169,999999999.99,0,0,none
1,170,15608.029866713014,1322785.790001524,0,none
1,171,15608.001869576117,1517415.3503494833,0,none
1,172,999999999.99,0,0,none
1,173,999999999.99,0,0,none
1,174,339.49548071631386,429380.98433440295,0,none
1,175,999999999.99,0,0,none
1,176,999999999.99,0,0,none
1,177,514.1504919118286,439119.2278875318,0,none
1,178,1411.496306867638,494888.10561734356,0,none
1,179,15608.000301725444,1572417.311082001,0,none
1,180,999999999.99,0,0,none
1,181,15608.155598503614,1350516.882968339,0,none
1,182,15608.017648369792,1430180.158417628,0,none
1,183,999999999.99,0,0,none
1,184,519.6549146118482,440286.2996073113,0,none
1,185,606.0044774786641,443666.7683629542,0,none
1,186,872.3604399939481,446689.5926441223,0,none
1,187,15608.001840060682,1587736.5275422381,0,none
1,188,15608.023308932427,1421254.450715739,0,none
1,189,999999999.99,0,0,none
1,190,999999999.99,0,0,none
1,191,708.5618341672148,335935.5113931024,0,none
1,192,15608.008490814052,1401336.5993988323,0,none
1,193,999999999.99,0,0,none
1,194,999999999.99,0,0,none
1,195,725.5803050001313,403608.47985321656,0,none
1,196,1638.1490447345,450983.8759695815,0,none
1,197,15608.008682379104,1403874.7365916285,0,none
1,198,1170.999775198462,473387.82918299356,0,none
1,199,468.59170165383387,433782.7793886055,0,none
2,0,999999999.99,0,0,gen1case89 gen1case49
2,1,1691.8516867562128,520257.3652959416,0,gen1case89 gen1case49
2,2,29.596798389423455,402117.5368258978,0,gen1case92 gen1case107
2,3,209.6252836538488,415746.3342907734,0,gen1case92 gen1case107
2,4,1247.9011184306107,477127.59293247055,0,gen1case43 gen1case107
2,5,562.6055096017786,444358.82435797015,0,gen1case43 gen1case107
2,6,379.0638246454577,429859.6434489851,0,gen1case147 gen1case50
2,7,42.039202185730026,402695.46466888767,0,gen1case147 gen1case50
